emp_id,emp_name,gender,age,dept_id,dept_name,salary,bonus,hire_date,experience_years,performance_rating,is_promoted
1,Nisha Iyer,Male,38,102,HR,39144,2507.34,2014-10-16,13,1,0
2,Kavya Mehta,Male,55,104,Sales,76463,5606.41,2020-05-09,27,3,1
3,Sneha Verma,Female,27,103,Finance,139131,18477.44,2015-11-21,1,4,1
4,Simran Singh,Male,23,106,Operations,58238,4332.8,2022-04-21,2,4,1
5,Vivek Joshi,Male,59,106,Operations,105589,16122.61,2019-01-18,17,5,0
6,Neha Sharma,Female,46,103,Finance,134341,9596.08,2024-05-30,15,4,0
7,Neha Joshi,Female,58,104,Sales,106784,15389.38,2017-07-20,3,1,1
8,Aditya Verma,Female,45,105,Marketing,36504,2436.02,2021-10-01,17,3,1
9,Anjali Bose,Male,37,105,Marketing,116959,8529.34,2018-08-01,16,5,0
10,Rakesh Mehta,Female,52,101,IT,64662,11147.95,2025-01-08,5,1,0
11,Karan Chopra,Male,37,105,Marketing,105686,12229.46,2022-07-01,9,4,1
12,Sneha Kapoor,Male,25,103,Finance,132603,7970.77,2019-04-04,0,1,0
13,Meera Verma,Male,38,106,Operations,120525,9468.62,2023-04-02,7,4,0
14,Varun Khan,Female,48,104,Sales,47100,4111.76,2016-07-28,12,3,0
15,Rakesh Bose,Male,48,102,HR,60318,11783.09,2014-06-14,1,5,0
16,Anjali Khan,Female,51,102,HR,56282,6385.26,2020-07-08,16,4,1
17,Karan Singh,Female,34,101,IT,125914,23660.26,2025-05-26,9,4,0
18,Priya Verma,Male,25,105,Marketing,50713,7247.25,2015-01-05,4,5,1
19,Varun Das,Female,34,106,Operations,62154,6055.45,2024-05-17,10,3,0
20,Arjun Bose,Male,25,105,Marketing,80745,9344.43,2017-08-29,2,3,1
21,Aditya Mehta,Female,27,102,HR,37564,5921.66,2018-11-05,4,5,0
22,Varun Joshi,Female,37,107,Admin,30232,2244.34,2019-12-30,10,2,1
23,Rakesh Khan,Male,28,101,IT,173869,12017.27,2023-10-05,8,2,1
24,Sanjay Sharma,Female,34,106,Operations,98264,17657.14,2019-06-07,11,2,0
25,Imran Mehta,Male,42,107,Admin,40433,7311.3,2022-09-13,22,1,1
26,Neha Singh,Female,43,103,Finance,89831,17520.04,2015-09-05,10,3,1
27,Sanjay Reddy,Female,22,101,IT,164955,26274.32,2021-11-15,2,4,1
28,Imran Iyer,Female,57,102,HR,32908,1990.8,2023-10-18,12,3,1
29,Aditya Das,Male,40,105,Marketing,87743,13138.59,2023-07-21,4,2,1
30,Varun Rao,Female,46,105,Marketing,62549,7272.44,2024-07-20,19,3,0
31,Kavya Chopra,Male,26,103,Finance,142960,24443.93,2019-02-28,1,3,0
32,Arjun Sharma,Male,51,105,Marketing,89321,9820.66,2025-03-17,12,4,0
33,Nisha Mehta,Male,48,102,HR,82698,5788.93,2024-05-11,7,1,1
34,Varun Das,Female,60,107,Admin,40430,6580.65,2019-12-08,30,4,1
35,Kavya Chopra,Male,38,104,Sales,70735,5137.1,2017-03-23,17,1,1
36,Deepak Patel,Male,25,104,Sales,101069,18041.81,2014-07-24,3,4,1
37,Manish Mehta,Female,40,107,Admin,44453,5128.78,2020-03-29,15,2,0
38,Pooja Das,Female,31,107,Admin,68790,10071.71,2016-01-02,9,1,0
39,Divya Rao,Male,37,104,Sales,82840,9986.03,2015-12-16,13,3,0
40,Sanjay Kapoor,Male,23,107,Admin,45633,6141.99,2016-09-08,1,4,0
41,Divya Joshi,Female,31,105,Marketing,56465,7700.1,2021-02-12,9,1,1
42,Pooja Singh,Male,58,106,Operations,123697,16069.7,2021-11-28,36,1,1
43,Rohit Das,Male,47,107,Admin,76354,12221.93,2018-01-26,4,4,1
44,Aditya Chopra,Female,48,107,Admin,48279,7848.79,2019-08-04,28,4,1
45,Meera Mehta,Female,41,102,HR,43901,5597.12,2014-05-08,8,5,0
46,Rohit Kapoor,Female,52,105,Marketing,119659,9960.35,2020-09-20,1,1,0
47,Rahul Gupta,Female,56,105,Marketing,78357,6872.74,2020-12-30,29,3,0
48,Swati Singh,Female,28,106,Operations,73361,10235.22,2025-11-20,7,3,0
49,Vivek Nair,Male,44,102,HR,30927,4781.7,2020-09-03,1,5,0
50,Nisha Chopra,Male,21,105,Marketing,79657,13805.94,2016-09-05,1,4,1
51,Manish Verma,Male,30,102,HR,66886,11126.76,2019-03-08,6,5,1
52,Divya Bose,Female,58,104,Sales,47894,7139.28,2020-01-21,13,2,0
53,Neha Rao,Male,31,101,IT,103545,16095.88,2020-06-18,3,3,1
54,Rohit Kapoor,Female,58,106,Operations,74466,4520.94,2017-04-24,9,3,0
55,Rahul Nair,Female,28,104,Sales,92757,12958.66,2015-12-04,7,4,1
56,Swati Das,Female,22,101,IT,80005,10228.21,2024-09-03,0,2,1
57,Amit Rao,Female,52,101,IT,111605,10405.23,2025-03-26,21,4,1
58,Rakesh Sharma,Female,26,103,Finance,75194,8420.76,2024-06-25,6,5,0
59,Kavya Gupta,Female,49,107,Admin,58712,3189.85,2016-11-04,28,4,0
60,Deepak Rao,Female,56,101,IT,122384,15460.87,2020-08-31,9,4,1
61,Imran Chopra,Female,36,104,Sales,64983,10780.76,2020-04-26,4,1,1
62,Meera Joshi,Male,39,106,Operations,64476,6438.96,2021-11-11,17,4,1
63,Divya Das,Male,36,105,Marketing,76704,9534.25,2017-07-14,12,4,0
64,Karan Das,Male,49,101,IT,118937,19889.69,2024-08-26,4,1,1
65,Meera Reddy,Male,42,107,Admin,77101,10996.06,2014-12-05,15,5,0
66,Nisha Nair,Male,26,104,Sales,123066,7002.29,2014-10-09,5,3,0
67,Rahul Gupta,Female,48,102,HR,64810,9265.01,2022-09-13,2,5,0
68,Manish Patel,Male,50,106,Operations,105981,6473.24,2017-08-31,21,5,1
69,Simran Nair,Female,37,104,Sales,90422,12317.45,2022-03-04,12,5,1
70,Arjun Reddy,Female,21,105,Marketing,114482,9484.91,2022-01-09,0,5,0
71,Aditya Joshi,Male,27,106,Operations,120965,11976.49,2020-09-27,2,1,1
72,Anjali Singh,Male,55,103,Finance,95720,18611.22,2024-08-16,21,1,0
73,Neha Reddy,Female,26,107,Admin,54155,9388.45,2022-09-01,5,3,1
74,Sneha Kapoor,Female,22,105,Marketing,64015,9434.91,2020-11-24,2,4,0
75,Karan Sharma,Male,40,104,Sales,110457,15254.23,2023-07-10,11,5,0
76,Imran Iyer,Female,60,104,Sales,130476,8468.31,2022-04-04,28,2,1
77,Rakesh Gupta,Male,46,103,Finance,119600,20095.09,2015-04-04,19,1,0
78,Karan Singh,Male,56,102,HR,44152,5785.34,2017-01-13,17,2,0
79,Sneha Mehta,Male,21,103,Finance,91186,14704.45,2016-12-18,1,1,0
80,Swati Verma,Female,49,107,Admin,44519,4240.19,2025-10-25,19,1,0
81,Priya Chopra,Female,48,106,Operations,55589,3831.68,2015-08-06,19,2,1
82,Pooja Nair,Female,53,105,Marketing,107264,10816.47,2023-05-27,28,2,1
83,Pooja Khan,Male,41,104,Sales,89060,10222.44,2016-03-18,2,1,1
84,Karan Sharma,Female,28,104,Sales,138341,18909.52,2016-06-11,4,3,0
85,Karan Chopra,Male,27,103,Finance,108176,15290.6,2014-09-17,6,5,1
86,Arjun Rao,Female,40,103,Finance,83777,13564.9,2016-03-06,4,1,0
87,Pooja Khan,Female,42,102,HR,50423,8227.29,2017-08-26,1,2,0
88,Varun Verma,Female,49,106,Operations,80804,8223.9,2016-09-03,24,5,0
89,Rahul Chopra,Female,23,102,HR,69277,6873.55,2020-08-12,1,3,0
90,Manish Khan,Male,29,104,Sales,105570,5575.28,2023-11-27,6,1,0
91,Meera Khan,Female,47,103,Finance,62733,7246.09,2016-02-05,26,3,0
92,Neha Khan,Female,54,101,IT,101873,14769.92,2025-07-27,10,1,0
93,Sanjay Gupta,Male,36,101,IT,69194,8275.12,2025-03-15,2,2,1
94,Varun Das,Female,30,104,Sales,122756,7503.9,2025-07-02,0,3,1
95,Divya Sharma,Male,44,107,Admin,63231,7427.12,2015-01-16,12,4,0
96,Meera Chopra,Male,24,104,Sales,133626,20864.8,2019-09-05,1,1,1
97,Kavya Rao,Female,44,103,Finance,104350,10377.98,2015-08-07,20,3,1
98,Rahul Joshi,Male,42,101,IT,126380,16914.49,2021-01-24,19,1,1
99,Karan Verma,Female,53,103,Finance,100483,7359.55,2017-03-16,12,2,1
100,Sneha Sharma,Female,60,102,HR,54688,5722.82,2023-05-03,28,1,0
101,Divya Nair,Female,35,105,Marketing,83213,10437.91,2022-09-08,14,3,1
102,Anjali Singh,Male,37,101,IT,134040,12186.74,2017-09-19,9,1,0
103,Imran Verma,Male,49,103,Finance,114381,12151.48,2015-12-14,7,4,0
104,Meera Iyer,Female,30,102,HR,48800,2579.11,2015-11-25,9,1,0
105,Karan Khan,Male,39,102,HR,37985,6666.49,2016-08-10,14,1,1
106,Aditya Mehta,Male,30,103,Finance,140584,27582.32,2025-11-11,2,1,0
107,Kavya Mehta,Female,51,101,IT,133318,22094.15,2016-06-12,22,2,1
108,Karan Sharma,Female,55,103,Finance,82949,13056.73,2015-07-15,11,2,1
109,Priya Nair,Male,23,107,Admin,56098,9143.62,2014-12-10,3,3,0
110,Rahul Gupta,Male,42,103,Finance,108237,16647.96,2025-04-01,10,2,1
111,Kavya Joshi,Male,48,101,IT,106440,10215.51,2020-10-01,2,3,1
112,Anjali Bose,Female,49,101,IT,145265,21888.18,2015-10-21,25,1,1
113,Sanjay Rao,Male,30,107,Admin,45466,4884.33,2022-03-30,10,3,0
114,Aditya Patel,Female,44,103,Finance,70077,6127.66,2020-05-16,12,3,0
115,Arjun Rao,Female,54,104,Sales,74311,5082.55,2018-08-11,18,4,0
116,Divya Rao,Female,26,107,Admin,66044,11736.3,2020-11-06,4,3,0
117,Sanjay Kapoor,Male,33,107,Admin,67504,9571.54,2017-01-12,5,4,0
118,Rohit Nair,Female,51,105,Marketing,44666,6789.96,2024-07-27,4,4,1
119,Karan Rao,Male,48,105,Marketing,102908,19574.2,2021-05-11,5,2,0
120,Sanjay Nair,Male,37,102,HR,66099,9660.24,2025-05-24,17,1,0
121,Anjali Das,Male,22,101,IT,55958,10259.87,2025-04-16,2,1,1
122,Nisha Nair,Female,36,107,Admin,75128,8440.12,2023-12-25,1,2,1
123,Vivek Das,Male,41,107,Admin,79850,7814.71,2016-07-02,11,5,1
124,Sneha Joshi,Female,36,102,HR,33316,2614.48,2021-02-18,5,3,0
125,Manish Bose,Female,40,104,Sales,106249,6117.93,2015-03-19,18,3,1
126,Aditya Chopra,Female,55,101,IT,161040,9287.77,2023-02-08,23,1,0
127,Sanjay Nair,Male,45,105,Marketing,116689,12366.67,2022-12-15,4,1,1
128,Rakesh Gupta,Male,33,105,Marketing,40938,5235.97,2024-09-29,11,3,0
129,Aditya Patel,Female,60,103,Finance,140805,17386.18,2026-01-22,32,5,1
130,Manish Mehta,Female,42,106,Operations,48492,7671.92,2019-03-24,15,3,1
131,Anjali Reddy,Male,36,101,IT,125047,19204.1,2023-05-20,13,2,1
132,Kavya Chopra,Male,29,105,Marketing,97701,18252.37,2024-06-06,5,2,1
133,Rakesh Gupta,Female,60,104,Sales,113149,11038.38,2025-02-01,18,2,1
134,Rakesh Joshi,Female,28,105,Marketing,80237,8180.53,2015-11-23,0,3,1
135,Nisha Joshi,Female,34,102,HR,65296,5639.53,2019-06-28,9,5,0
136,Nisha Kapoor,Male,27,104,Sales,53178,6467.36,2024-10-15,2,4,0
137,Rahul Das,Female,24,107,Admin,41473,8277.01,2014-12-08,3,2,1
138,Manish Rao,Female,23,101,IT,89110,10711.3,2025-06-06,3,2,0
139,Sneha Das,Male,50,106,Operations,83669,11851.14,2018-01-21,21,2,1
140,Imran Das,Male,46,106,Operations,77512,9069.7,2019-05-28,8,4,1
141,Meera Nair,Male,37,106,Operations,106000,19977.39,2025-05-23,5,4,1
142,Deepak Iyer,Female,44,105,Marketing,55078,8553.12,2023-06-13,19,3,1
143,Rakesh Singh,Male,59,107,Admin,35118,6121.63,2015-07-04,36,1,0
144,Simran Patel,Male,41,107,Admin,62035,10626.83,2024-02-11,2,5,1
145,Karan Khan,Female,57,101,IT,123242,6999.34,2015-10-05,0,2,1
146,Deepak Verma,Male,25,104,Sales,63590,12649.86,2022-07-09,5,4,1
147,Divya Reddy,Female,26,106,Operations,60549,4184.06,2025-12-25,4,4,0
148,Arjun Mehta,Female,50,106,Operations,75102,6860.38,2017-08-07,14,3,0
149,Priya Khan,Male,36,102,HR,36612,4039.76,2015-02-11,1,2,0
150,Rakesh Singh,Male,29,105,Marketing,76799,13934.31,2020-11-21,5,2,0
151,Imran Nair,Female,24,105,Marketing,117050,22384.4,2021-11-05,3,1,1
152,Kavya Das,Female,47,102,HR,54671,9765.95,2020-11-12,27,2,0
153,Divya Sharma,Female,47,105,Marketing,68422,12115.48,2024-03-17,20,1,0
154,Rakesh Singh,Male,38,104,Sales,45183,5508.22,2018-12-27,18,5,1
155,Rahul Mehta,Male,33,106,Operations,124220,16497.89,2019-06-28,3,4,1
156,Pooja Bose,Female,40,103,Finance,125179,12134.64,2022-06-08,10,2,0
157,Simran Kapoor,Male,22,103,Finance,135909,14539.0,2019-04-13,0,3,0
158,Manish Das,Female,52,106,Operations,91160,7074.67,2025-01-27,8,5,0
159,Kavya Sharma,Male,24,107,Admin,76345,9608.78,2019-01-10,1,1,1
160,Priya Chopra,Female,22,101,IT,119758,6295.84,2020-07-20,1,5,1
161,Anjali Iyer,Male,54,102,HR,42578,8255.65,2022-06-28,25,1,1
162,Simran Kapoor,Male,40,106,Operations,57255,3344.68,2024-10-18,12,4,0
163,Deepak Rao,Male,52,107,Admin,32788,2972.7,2024-10-14,14,2,0
164,Varun Joshi,Male,32,107,Admin,35042,4730.82,2019-07-07,4,2,1
165,Varun Das,Female,29,107,Admin,33519,5892.68,2019-04-30,1,4,1
166,Aditya Reddy,Female,22,106,Operations,91636,13924.48,2018-04-15,1,4,1
167,Rohit Nair,Male,25,101,IT,85123,5616.64,2022-03-18,3,3,0
168,Rahul Bose,Female,38,101,IT,67367,3633.73,2016-06-09,16,4,1
169,Rakesh Verma,Female,45,101,IT,88253,6656.51,2022-08-29,16,2,1
170,Rahul Joshi,Female,30,101,IT,71916,11372.43,2019-08-27,5,3,1
171,Aditya Singh,Female,27,102,HR,30443,5245.98,2023-10-12,7,3,0
172,Rahul Das,Male,51,103,Finance,101830,9372.94,2022-07-22,15,3,1
173,Sanjay Iyer,Male,58,105,Marketing,95505,14416.16,2023-04-19,18,1,0
174,Nisha Nair,Male,37,106,Operations,103860,13517.91,2023-02-10,15,5,1
175,Rakesh Sharma,Female,55,105,Marketing,67536,13170.98,2023-01-31,2,5,1
176,Imran Iyer,Male,27,103,Finance,157891,17158.03,2022-07-06,3,4,0
177,Sanjay Mehta,Female,27,103,Finance,75213,9639.84,2018-10-05,5,4,1
178,Manish Iyer,Female,49,103,Finance,65856,12478.95,2017-10-22,20,1,0
179,Kavya Rao,Male,42,105,Marketing,117543,6391.85,2022-12-29,20,4,0
180,Divya Khan,Female,21,106,Operations,120674,9600.96,2021-06-07,0,3,0
181,Amit Chopra,Female,59,104,Sales,54972,10323.87,2020-10-16,39,2,0
182,Varun Patel,Female,28,102,HR,37664,5130.62,2017-03-19,6,5,1
183,Anjali Chopra,Male,56,102,HR,48929,6003.16,2014-05-03,3,3,0
184,Pooja Chopra,Female,52,104,Sales,104054,5713.01,2020-09-02,1,2,0
185,Rakesh Nair,Male,50,105,Marketing,101952,13386.96,2022-05-08,3,3,0
186,Swati Bose,Male,48,101,IT,146467,26265.92,2021-12-09,14,3,0
187,Divya Iyer,Male,34,107,Admin,58060,9738.25,2017-03-30,2,5,0
188,Priya Gupta,Female,59,105,Marketing,72923,14177.38,2017-02-28,32,1,1
189,Priya Joshi,Male,29,102,HR,76621,8142.96,2023-05-31,9,3,0
190,Nisha Verma,Female,53,106,Operations,87898,12765.08,2024-05-27,0,1,1
191,Rohit Reddy,Male,48,107,Admin,65868,11082.0,2025-01-02,18,2,0
192,Priya Iyer,Female,22,101,IT,171822,12688.47,2020-11-21,0,2,1
193,Rohit Gupta,Female,26,103,Finance,145054,21514.81,2023-10-01,2,2,0
194,Arjun Singh,Female,25,102,HR,44823,8884.96,2016-10-28,5,3,1
195,Deepak Patel,Female,25,102,HR,35854,5952.45,2022-09-15,2,2,0
196,Nisha Patel,Male,54,105,Marketing,92684,13199.26,2023-05-10,13,2,1
197,Vivek Verma,Male,29,107,Admin,50611,7424.28,2020-05-01,2,2,0
198,Rakesh Nair,Male,40,102,HR,69775,7527.52,2025-03-22,1,2,0
199,Manish Verma,Male,44,103,Finance,134498,7061.6,2015-10-04,5,4,0
200,Arjun Joshi,Male,23,101,IT,174345,10872.88,2023-02-22,3,4,0
201,Amit Verma,Female,26,105,Marketing,77827,12047.73,2021-01-28,5,1,0
202,Priya Kapoor,Male,48,101,IT,109424,8160.28,2014-05-17,0,2,1
203,Kavya Joshi,Male,44,102,HR,81191,4837.42,2025-11-14,13,3,0
204,Manish Bose,Female,24,104,Sales,88193,14209.39,2019-03-31,4,1,0
205,Priya Mehta,Male,23,104,Sales,63456,5535.87,2021-05-04,3,2,1
206,Amit Verma,Female,28,105,Marketing,64253,11559.43,2024-07-21,6,1,1
207,Meera Verma,Female,21,103,Finance,133899,26735.35,2025-03-09,1,5,0
208,Swati Kapoor,Male,21,104,Sales,85406,5601.98,2021-01-07,0,4,0
209,Imran Chopra,Male,30,106,Operations,99140,13593.64,2016-01-10,5,4,0
210,Nisha Reddy,Male,58,105,Marketing,66034,6452.09,2021-06-09,20,4,1
211,Neha Verma,Male,29,107,Admin,59462,4049.99,2023-03-29,7,3,1
212,Vivek Bose,Female,50,103,Finance,71851,4575.61,2017-06-13,6,3,0
